31557600        , -693567487.689739, -684818538.142374, -271618285.575031, 14.0592043430455, -6.17848983658627, -3.01939424567694
31557601        , -693567473.630538, -684818544.320871, -271618288.594428, 14.0592044503875, -6.178489597606 , -3.01939414720782
31557605        , -693567417.393731, -684818569.034855, -271618300.672016, 14.0592048797552, -6.17848864168484, -3.01939375333129
31557621        , -693567192.446487, -684818667.890748, -271618348.982346, 14.0592065972242, -6.17848481799894, -3.0193921778246
31557685        , -693566292.657178, -684819063.313583, -271618542.223366, 14.0592134670658, -6.17846952323569, -3.01938587578833
31557941        , -693562693.494817, -684820644.993514, -271619315.182744, 14.0592409459048, -6.17840834387676, -3.01936066749582
31558965        , -693548296.775814, -684826971.558361, -271622406.95644, 14.0593508541001, -6.17816362228984, -3.01925983232511
31563061        , -693490708.774522, -684852275.311698, -271634773.018623, 14.0597903710004, -6.17718466880101, -3.01885645927969
31579445        , -693260338.778137, -684953450.220518, -271684220.742016, 14.061546583488 , -6.17326778233046, -3.01724244991559
31644981        , -692338571.785407, -685357507.693493, -271881746.993673, 14.0685416891697, -6.1575831858678, -3.01077817622732
31907125        , -688646966.547775, -686963432.211076, -272667602.791704, 14.0960428935531, -6.09457842954799, -2.98479149889453
32907125        , -674501090.024406, -692936454.27047, -275602137.779236, 14.1938091323632, -5.85045891933998, -2.88376011636806
33907125        , -660263552.452159, -698661985.021776, -278433811.608735, 14.278582023941 , -5.59921503193513, -2.77873690613134
34907125        , -645951637.110771, -704133151.996066, -281158168.174231, 14.3406296488529, -5.34361092687553, -2.66987124015252
35907125        , -631590503.451276, -709356962.001371, -283776621.487404, 14.3803523738193, -5.09760411780028, -2.56429562381162
